character,ARCHER,DEGRA,HOSHI,MALIK,PHLOX,REED,SHRAN,SOONG,SOVAL,TRAVIS,TUCKER,T_POL,total_lines,ep,season,title
ARCHER,6,0,54,0,31,28,0,0,7,11,64,107,220,0,1,Broken Bow (parts 1 & 2)
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Broken Bow (parts 1 & 2)
HOSHI,54,0,2,0,1,12,0,0,0,3,3,13,61,0,1,Broken Bow (parts 1 & 2)
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Broken Bow (parts 1 & 2)
PHLOX,31,0,1,0,0,0,0,0,0,0,6,2,23,0,1,Broken Bow (parts 1 & 2)
REED,28,0,12,0,0,2,0,0,0,32,5,13,52,0,1,Broken Bow (parts 1 & 2)
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Broken Bow (parts 1 & 2)
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Broken Bow (parts 1 & 2)
SOVAL,7,0,0,0,0,0,0,0,0,0,0,0,10,0,1,Broken Bow (parts 1 & 2)
TRAVIS,11,0,3,0,0,32,0,0,0,0,26,13,48,0,1,Broken Bow (parts 1 & 2)
TUCKER,64,0,3,0,6,5,0,0,0,26,0,54,99,0,1,Broken Bow (parts 1 & 2)
T_POL,107,0,13,0,2,13,0,0,0,13,54,2,114,0,1,Broken Bow (parts 1 & 2)
ARCHER,14,0,70,0,14,46,0,0,0,23,25,64,144,1,1,Fight or Flight
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fight or Flight
HOSHI,70,0,0,0,16,12,0,0,0,1,20,5,68,1,1,Fight or Flight
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fight or Flight
PHLOX,14,0,16,0,2,0,0,0,0,1,12,1,26,1,1,Fight or Flight
REED,46,0,12,0,0,4,0,0,0,19,2,7,49,1,1,Fight or Flight
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fight or Flight
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fight or Flight
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Fight or Flight
TRAVIS,23,0,1,0,1,19,0,0,0,2,0,6,29,1,1,Fight or Flight
TUCKER,25,0,20,0,12,2,0,0,0,0,0,10,38,1,1,Fight or Flight
T_POL,64,0,5,0,1,7,0,0,0,6,10,2,54,1,1,Fight or Flight
ARCHER,8,0,8,0,19,19,0,0,0,3,40,35,105,2,1,Strange New World
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Strange New World
HOSHI,8,0,2,0,0,0,0,0,0,1,1,2,9,2,1,Strange New World
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Strange New World
PHLOX,19,0,0,0,2,4,0,0,0,0,0,0,14,2,1,Strange New World
REED,19,0,0,0,4,4,0,0,0,0,0,0,17,2,1,Strange New World
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Strange New World
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Strange New World
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Strange New World
TRAVIS,3,0,1,0,0,0,0,0,0,0,43,14,41,2,1,Strange New World
TUCKER,40,0,1,0,0,0,0,0,0,43,22,65,118,2,1,Strange New World
T_POL,35,0,2,0,0,0,0,0,0,14,65,2,78,2,1,Strange New World
ARCHER,8,0,4,0,7,12,0,0,0,6,55,17,75,3,1,Unexpected
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Unexpected
HOSHI,4,0,0,0,0,1,0,0,0,0,2,1,4,3,1,Unexpected
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Unexpected
PHLOX,7,0,0,0,2,0,0,0,0,0,28,12,26,3,1,Unexpected
REED,12,0,1,0,0,0,0,0,0,2,22,6,26,3,1,Unexpected
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Unexpected
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Unexpected
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Unexpected
TRAVIS,6,0,0,0,0,2,0,0,0,0,9,2,12,3,1,Unexpected
TUCKER,55,0,2,0,28,22,0,0,0,9,12,27,130,3,1,Unexpected
T_POL,17,0,1,0,12,6,0,0,0,2,27,2,38,3,1,Unexpected
ARCHER,28,0,4,0,27,13,0,0,0,20,19,44,121,4,1,Terra Nova
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Terra Nova
HOSHI,4,0,0,0,1,0,0,0,0,2,3,1,6,4,1,Terra Nova
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Terra Nova
PHLOX,27,0,1,0,4,2,0,0,0,0,0,2,25,4,1,Terra Nova
REED,13,0,0,0,2,2,0,0,0,0,0,1,16,4,1,Terra Nova
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Terra Nova
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Terra Nova
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Terra Nova
TRAVIS,20,0,2,0,0,0,0,0,0,0,5,6,23,4,1,Terra Nova
TUCKER,19,0,3,0,0,0,0,0,0,5,0,11,24,4,1,Terra Nova
T_POL,44,0,1,0,2,1,0,0,0,6,11,0,40,4,1,Terra Nova
ARCHER,10,0,0,0,0,5,28,0,0,3,19,53,81,5,1,The Andorian Incident
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,The Andorian Incident
HOSHI,0,0,0,0,0,15,0,0,0,0,0,0,9,5,1,The Andorian Incident
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,The Andorian Incident
PHLOX,0,0,0,0,2,0,0,0,0,0,0,12,8,5,1,The Andorian Incident
REED,5,0,15,0,0,0,4,0,0,7,8,1,33,5,1,The Andorian Incident
SHRAN,28,0,0,0,0,4,2,0,0,1,2,2,33,5,1,The Andorian Incident
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,The Andorian Incident
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,The Andorian Incident
TRAVIS,3,0,0,0,0,7,1,0,0,0,0,3,8,5,1,The Andorian Incident
TUCKER,19,0,0,0,0,8,2,0,0,0,0,13,42,5,1,The Andorian Incident
T_POL,53,0,0,0,12,1,2,0,0,3,13,2,49,5,1,The Andorian Incident
ARCHER,12,0,7,0,2,27,0,0,0,4,41,39,93,6,1,Breaking The Ice
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Breaking The Ice
HOSHI,7,0,0,0,0,1,0,0,0,1,11,1,13,6,1,Breaking The Ice
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Breaking The Ice
PHLOX,2,0,0,0,0,0,0,0,0,0,0,7,5,6,1,Breaking The Ice
REED,27,0,1,0,0,4,0,0,0,33,1,0,40,6,1,Breaking The Ice
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Breaking The Ice
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Breaking The Ice
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Breaking The Ice
TRAVIS,4,0,1,0,0,33,0,0,0,0,0,1,22,6,1,Breaking The Ice
TUCKER,41,0,11,0,0,1,0,0,0,0,12,79,81,6,1,Breaking The Ice
T_POL,39,0,1,0,7,0,0,0,0,1,79,0,66,6,1,Breaking The Ice
ARCHER,22,0,12,0,3,5,0,0,0,0,22,36,115,7,1,Civilization
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Civilization
HOSHI,12,0,0,0,3,2,0,0,0,2,5,5,16,7,1,Civilization
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Civilization
PHLOX,3,0,3,0,2,0,0,0,0,0,0,8,9,7,1,Civilization
REED,5,0,2,0,0,0,0,0,0,2,4,6,12,7,1,Civilization
SHRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Civilization
SOONG,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Civilization
SOVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Civilization
TRAVIS,0,0,2,0,0,2,0,0,0,0,0,5,6,7,1,Civilization
TUCKER,22,0,5,0,0,4,0,0,0,0,4,16,35,7,1,Civilization
T_POL,36,0,5,0,8,6,0,0,0,5,16,2,49,7,1,Civilization
ARCHER,4,0,5,0,2,8,0,0,0,29,10,20,78,8,1,Fortunate Son
DEGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Fortunate Son
HOSHI,5,0,0,0,0,0,0,0,0,1,3,1,5,8,1,Fortunate Son
MALIK,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Fortunate Son
PHLOX,2,0,0,0,0,3,0,0,0,1,0,0,5,8,1,Fortunate Son
