character,CHEKOV,GEORGE KIRK,JAYLAH,KHAN,KIRK,KRALL,MARCUS,MCCOY,NERO,PIKE,SCOTT,SPOCK,SPOCK (PRIME),SULU,UHURA,WINONA,lines,title,ep,season
CHEKOV,8,0,0,0,12,0,0,3,0,4,1,13,0,6,3,0,44,2009 reboot,0,0
GEORGE KIRK,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,2009 reboot,0,0
JAYLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009 reboot,0,0
KHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009 reboot,0,0
KIRK,12,0,0,0,26,0,0,84,3,29,19,86,38,21,50,0,249,2009 reboot,0,0
KRALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009 reboot,0,0
MARCUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009 reboot,0,0
MCCOY,3,0,0,0,84,0,0,0,0,3,4,19,0,3,5,0,78,2009 reboot,0,0
NERO,0,0,0,0,3,0,0,0,4,12,0,3,0,0,1,0,31,2009 reboot,0,0
PIKE,4,0,0,0,29,0,0,3,12,8,0,9,1,17,6,0,56,2009 reboot,0,0
SCOTT,1,0,0,0,19,0,0,4,0,0,4,7,11,1,0,0,31,2009 reboot,0,0
SPOCK,13,0,0,0,86,0,0,19,3,9,7,8,11,3,21,0,125,2009 reboot,0,0
SPOCK (PRIME),0,0,0,0,38,0,0,0,0,1,11,11,12,0,0,0,52,2009 reboot,0,0
SULU,6,0,0,0,21,0,0,3,0,17,1,3,0,4,1,0,37,2009 reboot,0,0
UHURA,3,0,0,0,50,0,0,5,1,6,0,21,0,1,4,0,59,2009 reboot,0,0
WINONA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2009 reboot,0,0
CHEKOV,2,0,0,0,52,0,0,3,0,0,16,8,0,15,2,0,61,Beyond,2,2
GEORGE KIRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond,2,2
JAYLAH,0,0,0,0,14,2,0,3,0,0,64,1,0,2,0,0,49,Beyond,2,2
KHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond,2,2
KIRK,52,0,14,0,22,1,0,38,0,0,79,37,0,21,17,0,215,Beyond,2,2
KRALL,0,0,2,0,1,0,0,1,0,0,0,0,0,6,12,0,21,Beyond,2,2
MARCUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond,2,2
MCCOY,3,0,3,0,38,1,0,14,0,0,9,74,0,2,0,0,88,Beyond,2,2
NERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond,2,2
PIKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond,2,2
