,ALEXANDER,BARCLAY,COMPUTER,CRUSHER,DATA,GUINAN,K'EHLEYR,LAFORGE,LWAXANA,O'BRIEN,PICARD,PULASKI,Q,RIKER,RO,TASHA,TROI,VASH,WESLEY,WORF,lines,ep,season,title
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,Encounter at Farpoint (parts 1 & 2)
CRUSHER,0,0,0,0,0,0,0,11,0,0,23,0,0,13,0,0,0,0,17,1,35,0,1,Encounter at Farpoint (parts 1 & 2)
DATA,0,0,0,0,2,0,0,0,0,3,33,0,1,32,0,8,6,0,0,2,59,0,1,Encounter at Farpoint (parts 1 & 2)
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
LAFORGE,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,2,1,0,1,0,15,0,1,Encounter at Farpoint (parts 1 & 2)
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
O'BRIEN,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,Encounter at Farpoint (parts 1 & 2)
PICARD,0,0,0,23,33,0,0,0,0,2,8,0,76,61,0,25,29,0,7,29,183,0,1,Encounter at Farpoint (parts 1 & 2)
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Encounter at Farpoint (parts 1 & 2)
