character,ANIJ,BORG-QUEEN,COCHRANE,CRUSHER,DATA,DOUGHERTY,KIRK,LAFORGE,LILY,PICARD,RIKER,RU'AFO,SHINZON,SORAN,TROI,WORF,lines,title,ep,season
ANIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
BORG-QUEEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
COCHRANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
CRUSHER,0,0,0,0,1,0,0,0,0,13,2,0,0,0,0,0,10,Nemesis,3,3
DATA,0,0,0,1,16,0,0,18,0,63,6,0,0,0,1,7,84,Nemesis,3,3
DOUGHERTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
KIRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
LAFORGE,0,0,0,0,18,0,0,4,0,26,10,0,0,0,4,2,37,Nemesis,3,3
LILY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
PICARD,0,0,0,13,63,0,0,26,0,56,39,0,71,0,13,25,183,Nemesis,3,3
RIKER,0,0,0,2,6,0,0,10,0,39,2,0,3,0,12,4,43,Nemesis,3,3
RU'AFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
SHINZON,0,0,0,0,0,0,0,0,0,71,3,0,18,0,4,1,87,Nemesis,3,3
SORAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nemesis,3,3
TROI,0,0,0,0,1,0,0,4,0,13,12,0,4,0,0,2,23,Nemesis,3,3
WORF,0,0,0,0,7,0,0,2,0,25,4,0,1,0,2,0,23,Nemesis,3,3
ANIJ,0,0,0,1,2,0,0,0,0,55,0,1,0,0,0,2,41,Insurrection,2,2
BORG-QUEEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
COCHRANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
CRUSHER,1,0,0,0,3,0,0,0,0,14,2,0,0,0,8,3,19,Insurrection,2,2
DATA,2,0,0,3,6,0,0,2,0,31,2,0,0,0,0,6,53,Insurrection,2,2
DOUGHERTY,0,0,0,0,0,2,0,0,0,30,0,23,0,0,0,0,35,Insurrection,2,2
KIRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
LAFORGE,0,0,0,0,2,0,0,2,0,20,8,0,0,0,3,0,29,Insurrection,2,2
LILY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
PICARD,55,0,0,14,31,30,0,20,0,56,14,9,0,0,9,48,207,Insurrection,2,2
RIKER,0,0,0,2,2,0,0,8,0,14,8,0,0,0,24,4,62,Insurrection,2,2
RU'AFO,1,0,0,0,0,23,0,0,0,9,0,12,0,0,0,0,53,Insurrection,2,2
SHINZON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
SORAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insurrection,2,2
TROI,0,0,0,8,0,0,0,3,0,9,24,0,0,0,2,2,28,Insurrection,2,2
WORF,2,0,0,3,6,0,0,0,0,48,4,0,0,0,2,2,45,Insurrection,2,2
ANIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,First Contact,1,1
