character,CHANG,CHEKOV,DAVID,DECKER,GILLIAN,KHAN,KIRK,KRUGE,MCCOY,SAAVIK,SCOTT,SPOCK,SULU,SYBOK,UHURA,VALERIS,lines,title,ep,season
CHANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
CHEKOV,0,0,0,0,0,0,25,0,1,0,3,0,3,0,0,0,20,III: The Search for Spock,2,2
DAVID,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,27,III: The Search for Spock,2,2
DECKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
GILLIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
KHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
KIRK,0,25,0,0,0,0,26,14,31,4,24,12,37,0,11,0,165,III: The Search for Spock,2,2
KRUGE,0,0,0,0,0,0,14,16,0,5,0,0,0,0,0,0,63,III: The Search for Spock,2,2
MCCOY,0,1,0,0,0,0,31,0,0,1,1,0,2,0,0,0,38,III: The Search for Spock,2,2
SAAVIK,0,0,35,0,0,0,4,5,1,4,0,0,0,0,0,0,46,III: The Search for Spock,2,2
SCOTT,0,3,0,0,0,0,24,0,1,0,0,0,2,0,0,0,27,III: The Search for Spock,2,2
SPOCK,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,III: The Search for Spock,2,2
SULU,0,3,0,0,0,0,37,0,2,0,2,0,2,0,0,0,33,III: The Search for Spock,2,2
SYBOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
UHURA,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,18,III: The Search for Spock,2,2
VALERIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III: The Search for Spock,2,2
CHANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,II: The Wrath of Khan,1,1
